fold,model,precision_at_k,recall_at_k,roc_auc,average_precision,n_synthetic,k_used,n_recovered_in_top_k
1,ZScoreBaseline,0.04,0.04,0.8157110016420361,0.04871355855440876,50,50,2
1,LOF,0.68,0.68,0.9817208538587849,0.6903848691239408,50,50,34
1,IsolationForest,0.06,0.06,0.7679737274220033,0.04229154644914288,50,50,3
1,OneClassSVM,0.32,0.32,0.8933464696223317,0.16125983549903292,50,50,16
1,Autoencoder,0.26,0.26,0.9104433497536946,0.17366027272889165,50,50,13
1,HDBSCAN,0.56,0.56,0.5,0.01615508885298869,50,50,28
2,ZScoreBaseline,0.02,0.02,0.8048472906403941,0.0462569075833527,50,50,1
2,LOF,0.64,0.64,0.9098522167487685,0.6587491661571376,50,50,32
2,IsolationForest,0.02,0.02,0.7778981937602627,0.04180472074081176,50,50,1
2,OneClassSVM,0.26,0.26,0.875816091954023,0.1662325583881381,50,50,13
2,Autoencoder,0.22,0.22,0.8858784893267652,0.1307456561031224,50,50,11
2,HDBSCAN,0.56,0.56,0.5,0.01615508885298869,50,50,28
3,ZScoreBaseline,0.06,0.06,0.7785578186596585,0.04197287459434102,50,50,3
3,LOF,0.56,0.56,0.981892247043364,0.6233276769019175,50,50,28
3,IsolationForest,0.0,0.0,0.7479237844940867,0.03312568907740242,50,50,0
3,OneClassSVM,0.16,0.16,0.902233902759527,0.12371220001029785,50,50,8
3,Autoencoder,0.2,0.2,0.919986859395532,0.1390674536105783,50,50,10
3,HDBSCAN,0.58,0.58,0.5,0.01616031027795734,50,50,29
4,ZScoreBaseline,0.04,0.04,0.7377102496714848,0.03526519524577538,50,50,2
4,LOF,0.54,0.54,0.9708541392904073,0.5352460123835403,50,50,27
4,IsolationForest,0.06,0.06,0.7383311432325887,0.03940686005799352,50,50,3
4,OneClassSVM,0.16,0.16,0.8521747700394219,0.10275001597910974,50,50,8
4,Autoencoder,0.06,0.06,0.8844152431011827,0.09339805563117151,50,50,3
4,HDBSCAN,0.58,0.58,0.5,0.01616031027795734,50,50,29
5,ZScoreBaseline,0.02,0.02,0.764195137976347,0.03913906793088039,50,50,1
5,LOF,0.6,0.6,0.9482325886990801,0.6210756182875188,50,50,30
5,IsolationForest,0.04,0.04,0.7668593955321945,0.04007431700889006,50,50,2
5,OneClassSVM,0.24,0.24,0.8609264126149803,0.1512190968498713,50,50,12
5,Autoencoder,0.2,0.2,0.8617148488830486,0.12705789121198058,50,50,10
5,HDBSCAN,0.54,0.54,0.6208607095926414,0.021411771722409705,50,50,27
