fold,model,precision_at_k,recall_at_k,roc_auc,average_precision,n_synthetic,k_used,n_recovered_in_top_k
1,ZScoreBaseline,0.0,0.0,0.44673891625615764,0.026778017390695866,100,100,0
1,LOF,0.0,0.0,0.8072512315270935,0.0794779847330076,100,100,0
1,IsolationForest,0.0,0.0,0.7146141215106733,0.05034107985710647,100,100,0
1,OneClassSVM,0.0,0.0,0.7112380952380952,0.049333536970128294,100,100,0
1,Autoencoder,0.0,0.0,0.7127980295566503,0.05047069735965235,100,100,0
1,HDBSCAN,0.78,0.78,0.5,0.03179650238473768,100,100,78
2,ZScoreBaseline,0.0,0.0,0.4456486042692939,0.026888552367786766,100,100,0
2,LOF,0.0,0.0,0.6569885057471264,0.04160321172930588,100,100,0
2,IsolationForest,0.0,0.0,0.7182857142857143,0.05213385841779535,100,100,0
2,OneClassSVM,0.0,0.0,0.7168735632183909,0.05052168509105737,100,100,0
2,Autoencoder,0.0,0.0,0.6605385878489327,0.04217550198559293,100,100,0
2,HDBSCAN,0.78,0.78,0.5,0.03179650238473768,100,100,78
3,ZScoreBaseline,0.0,0.0,0.4596714848883048,0.02747715070016428,100,100,0
3,LOF,0.0,0.0,0.6627135348226019,0.043260262360412235,100,100,0
3,IsolationForest,0.0,0.0,0.6143659658344284,0.03873737074744261,100,100,0
3,OneClassSVM,0.0,0.0,0.678377135348226,0.04461072954571331,100,100,0
3,Autoencoder,0.0,0.0,0.55803876478318,0.03348824875278909,100,100,0
3,HDBSCAN,0.79,0.79,0.5,0.031806615776081425,100,100,79
4,ZScoreBaseline,0.0,0.0,0.44322273324572925,0.026667995380519924,100,100,0
4,LOF,0.0,0.0,0.7822174770039422,0.06995879742765235,100,100,0
4,IsolationForest,0.0,0.0,0.7387483574244416,0.05493900743286721,100,100,0
4,OneClassSVM,0.0,0.0,0.68884691195795,0.04620370738817635,100,100,0
4,Autoencoder,0.0,0.0,0.7495367936925099,0.05668262202695466,100,100,0
4,HDBSCAN,0.79,0.79,0.5,0.031806615776081425,100,100,79
5,ZScoreBaseline,0.0,0.0,0.4519185282522996,0.02705480973553235,100,100,0
5,LOF,0.0,0.0,0.5903416557161629,0.03510577353635698,100,100,0
5,IsolationForest,0.0,0.0,0.7801872536136663,0.064775718254176,100,100,0
5,OneClassSVM,0.0,0.0,0.7027102496714849,0.04781920575720196,100,100,0
5,Autoencoder,0.0,0.0,0.786084099868594,0.06547712010122475,100,100,0
5,HDBSCAN,0.69,0.69,0.6378318002628122,0.043867171597957014,100,100,69
