player_id,avg_rating,rating_band,n_games,ZScoreBaseline_score,ZScoreBaseline_label,LOF_score,LOF_label,IsolationForest_score,IsolationForest_label,OneClassSVM_score,OneClassSVM_label,Autoencoder_score,Autoencoder_label,HDBSCAN_score,HDBSCAN_label,ACPLSubAutoencoder_score,ACPLSubAutoencoder_label,anomaly_votes,ensemble_flag,ensemble_confident,likely_explanation
dongman51,1215.8,1200-1400,30,3.821199768428299,1,0.06923907181015299,-1,-0.07155575321862567,1,-0.5304178207763526,1,2.4762087,-1,1.0,1,0.72717834,-1,2,True,False,unexplained_deviation
atelia,1926.7333333333333,1800-2000,15,2.8882504602721824,1,0.18169760666537216,-1,-0.06149554305787891,1,-1.157151459730085,1,3.779792,-1,1.0,1,0.653541,-1,2,True,False,unexplained_deviation
Ahmedeldegwy82,1233.1739130434783,1200-1400,23,5.180838688871378,-1,-0.054455969307394714,1,0.0206357917697243,-1,0.611301420784951,-1,1.7843007,-1,1.0,1,1.1658092,-1,2,True,False,unexplained_deviation
lolo2015,1446.65,1400-1600,20,8.09760930702075,-1,0.27135560702275563,-1,-0.007301992578642724,1,2.970253927970909,-1,2.1553047,-1,1.0,1,1.375221,-1,3,True,True,unexplained_deviation
Blacktoothgrim,1755.6666666666667,1600-1800,15,2.861933612287433,1,0.033179059259073274,-1,-0.037319055177493565,1,-1.3698288968888441,1,3.4518673,-1,1.0,1,0.09962859,1,2,True,False,unexplained_deviation
jmgoca,1386.375,1200-1400,16,5.497755431442617,-1,0.3200099281178661,-1,-0.032542309986886675,1,0.0004534606642412342,-1,2.4267502,-1,1.0,1,0.47015095,1,3,True,True,unexplained_deviation
qufrkr3,1401.35,1400-1600,20,3.462359716253444,1,0.13232743933580493,-1,-0.02120032025396812,1,-0.2213903495022871,1,2.5984905,-1,1.0,1,1.1300714,-1,2,True,False,unexplained_deviation
nikolayr,1880.9,1800-2000,40,4.076158438655989,1,0.12813742886472745,-1,-0.0290049466519825,1,0.08301199597955211,-1,1.4713053,1,1.0,1,1.2953852,-1,2,True,False,unexplained_deviation
Shantanu_Chetia,1555.361111111111,1400-1600,36,3.801239484332898,1,0.1388512468975298,-1,-0.08968218033385827,1,0.00015475556225297282,-1,6.8748765,-1,1.0,1,1.7152456,-1,3,True,True,unexplained_deviation
Giuseppe-Michele,2126.318181818182,2000-2200,22,8.216723722058083,-1,0.32433422585066163,-1,-0.05220653762867944,1,2.413325848550192,-1,2.464219,-1,1.0,1,3.8352957,-1,3,True,True,pool_mismatch
kknight,2302.0,2200+,17,3.619401347090726,1,0.024591607349403466,-1,-0.11245378244208004,1,-4.2337573042703776,1,1.7658114,-1,1.0,1,0.35038942,1,2,True,False,unexplained_deviation
H-KH92,1851.6666666666667,1800-2000,24,8.069081791501494,-1,-0.07070962883194731,1,-0.08725873517171406,1,0.7870552651251339,-1,1.7895473,-1,1.0,1,0.82958984,-1,2,True,False,unexplained_deviation
caylakgasparov,1676.125,1600-1800,16,4.514195047235843,-1,0.10236058411513627,-1,0.01732853606613549,-1,0.4749744642917415,-1,1.459878,1,1.0,1,0.25730202,1,2,True,False,unexplained_deviation
Samsung777,1579.4285714285713,1400-1600,21,9.267436917022554,-1,0.26242453496177864,-1,0.055997268575539993,-1,3.4517579647271472,-1,0.9062397,1,1.0,1,0.43939188,1,2,True,False,unexplained_deviation
FoxyMoves,2262.714285714286,2200+,70,4.138180506120757,1,0.053610320225071506,-1,-0.06656847536649196,1,0.0002610795027138124,-1,1.0609854,1,1.0,1,0.06891615,1,2,True,False,pool_mismatch
