model,contamination,n_estimators,max_samples,roc_auc,nu,kernel,gamma,n_neighbors,min_cluster_size,min_samples,encoding_dim,reconstruction_threshold_percentile
Autoencoder,,,,0.6328888888888888,,,,,,,4.0,90.0
Autoencoder,,,,0.6328888888888888,,,,,,,4.0,93.0
Autoencoder,,,,0.6328888888888888,,,,,,,4.0,95.0
Autoencoder,,,,0.6328888888888888,,,,,,,4.0,97.0
Autoencoder,,,,0.6328888888888888,,,,,,,4.0,99.0
Autoencoder,,,,0.6093333333333333,,,,,,,8.0,90.0
Autoencoder,,,,0.6093333333333333,,,,,,,8.0,93.0
Autoencoder,,,,0.6093333333333333,,,,,,,8.0,95.0
Autoencoder,,,,0.6093333333333333,,,,,,,8.0,97.0
Autoencoder,,,,0.6093333333333333,,,,,,,8.0,99.0
Autoencoder,,,,0.6004444444444444,,,,,,,2.0,90.0
Autoencoder,,,,0.6004444444444444,,,,,,,2.0,93.0
Autoencoder,,,,0.6004444444444444,,,,,,,2.0,95.0
Autoencoder,,,,0.6004444444444444,,,,,,,2.0,97.0
Autoencoder,,,,0.6004444444444444,,,,,,,2.0,99.0
Autoencoder,,,,0.596,,,,,,,6.0,90.0
Autoencoder,,,,0.596,,,,,,,6.0,93.0
Autoencoder,,,,0.596,,,,,,,6.0,95.0
Autoencoder,,,,0.596,,,,,,,6.0,97.0
Autoencoder,,,,0.596,,,,,,,6.0,99.0
HDBSCAN,0.05,,,0.5,,,,,30.0,5.0,,
HDBSCAN,0.05,,,0.5,,,,,10.0,15.0,,
HDBSCAN,0.08,,,0.5,,,,,15.0,5.0,,
HDBSCAN,0.05,,,0.5,,,,,30.0,15.0,,
HDBSCAN,0.08,,,0.5,,,,,10.0,15.0,,
HDBSCAN,0.05,,,0.5,,,,,30.0,5.0,,
HDBSCAN,0.05,,,0.5,,,,,30.0,15.0,,
HDBSCAN,0.05,,,0.5,,,,,50.0,15.0,,
HDBSCAN,0.03,,,0.5,,,,,50.0,5.0,,
HDBSCAN,0.03,,,0.5,,,,,30.0,10.0,,
IsolationForest,0.01,200.0,auto,0.5902222222222222,,,,,,,,
IsolationForest,0.01,300.0,auto,0.5884444444444444,,,,,,,,
IsolationForest,0.05,300.0,auto,0.5884444444444444,,,,,,,,
IsolationForest,0.05,300.0,auto,0.5884444444444444,,,,,,,,
IsolationForest,0.1,300.0,auto,0.5884444444444444,,,,,,,,
IsolationForest,0.1,300.0,auto,0.5884444444444444,,,,,,,,
IsolationForest,0.08,150.0,auto,0.5844444444444444,,,,,,,,
IsolationForest,0.1,150.0,auto,0.5844444444444444,,,,,,,,
IsolationForest,0.02,100.0,auto,0.5802222222222221,,,,,,,,
IsolationForest,0.05,100.0,auto,0.5802222222222221,,,,,,,,
LOF,0.1,,,0.6493333333333333,,,,10.0,,,,
LOF,0.05,,,0.6493333333333333,,,,10.0,,,,
LOF,0.05,,,0.6493333333333333,,,,10.0,,,,
LOF,0.03,,,0.6431111111111111,,,,15.0,,,,
LOF,0.15,,,0.6431111111111111,,,,15.0,,,,
LOF,0.03,,,0.6342222222222224,,,,20.0,,,,
LOF,0.01,,,0.6342222222222224,,,,20.0,,,,
LOF,0.1,,,0.6302222222222222,,,,30.0,,,,
LOF,0.15,,,0.6302222222222222,,,,30.0,,,,
LOF,0.03,,,0.62,,,,40.0,,,,
OneClassSVM,,,,0.6448888888888888,0.05,rbf,scale,,,,,
OneClassSVM,,,,0.6448888888888888,0.05,rbf,scale,,,,,
OneClassSVM,,,,0.5857777777777777,0.03,poly,auto,,,,,
OneClassSVM,,,,0.5702222222222223,0.02,poly,scale,,,,,
OneClassSVM,,,,0.5604444444444445,0.01,poly,auto,,,,,
OneClassSVM,,,,0.5604444444444445,0.01,poly,auto,,,,,
OneClassSVM,,,,0.5604444444444445,0.01,poly,scale,,,,,
OneClassSVM,,,,0.5373333333333333,0.15,poly,auto,,,,,
OneClassSVM,,,,0.5373333333333333,0.15,poly,auto,,,,,
OneClassSVM,,,,0.5279999999999999,0.1,poly,scale,,,,,
