player_id,avg_rating,rating_band,n_games,ZScoreBaseline_score,ZScoreBaseline_label,LOF_score,LOF_label,IsolationForest_score,IsolationForest_label,OneClassSVM_score,OneClassSVM_label,Autoencoder_score,Autoencoder_label,HDBSCAN_score,HDBSCAN_label,ACPLSubAutoencoder_score,ACPLSubAutoencoder_label,anomaly_votes,ensemble_flag,ensemble_confident
idhoo,1849.0,1800-2000,55,4.667562157962274,-1,-0.24082881304602255,1,-0.09369836847746993,1,-2.1205560512192196,1,0.42410883,1,1.0,1,0.14494333,1,0,False,False
LafferStyle,1271.5227272727273,1200-1400,44,1.1979725102797991,1,-0.202037880494369,1,-0.15623322669822287,1,-4.439632055218795,1,1.2579776,1,1.0,1,0.23852693,1,0,False,False
hamidlovesky,1654.6891891891892,1600-1800,74,1.7243120795533144,1,-0.14809242425019908,1,-0.13686002726658514,1,-5.697897631841838,1,1.042602,1,1.0,1,0.03691846,1,0,False,False
RaposaAkatsuki,1484.0,1400-1600,38,1.5179207017600633,1,-0.05945993989947085,1,-0.13192860449814303,1,-3.242791177944528,1,0.5375811,1,1.0,1,0.0019443525,1,0,False,False
kovach,1811.3333333333333,1800-2000,18,1.5402307801085897,1,-0.2912104517943994,1,-0.16325424077954975,1,-5.096036648937111,1,0.12572105,1,0.9156924157032453,1,0.0214059,1,0,False,False
Dolgov_Alexey,2272.25,2200+,12,2.3262780010350217,1,-0.1531457654433097,1,-0.15798375105633639,1,-3.348431205482899,1,0.5552569,1,1.0,1,0.15823227,1,0,False,False
Ngoahahaha,1417.6785714285713,1400-1600,28,1.4045029945126501,1,-0.13801314221158067,1,-0.15476732335493554,1,-4.872555088717811,1,1.0719165,1,0.9030551716138508,1,0.059739336,1,0,False,False
resigning-is-manly,1944.05,1800-2000,20,3.3053812357925434,1,-0.20779616727374495,1,-0.08054041473048734,1,-2.882846993817414,1,0.5093555,1,1.0,1,0.13966635,1,0,False,False
Tasev_N,1330.2432432432433,1200-1400,37,1.322913242012446,1,-0.20474642230692286,1,-0.15571945216491306,1,-3.9856153693146004,1,0.568419,1,1.0,1,0.11741272,1,0,False,False
Apollyon_Rex,1439.3863636363637,1400-1600,44,1.812093108931824,1,-0.23616659043067978,1,-0.14091304482548234,1,-4.809700716650377,1,0.284951,1,0.9193444873953107,1,0.061225407,1,0,False,False
DanTheMan99,1430.7142857142858,1400-1600,28,0.9494859702975239,1,-0.14204570438620112,1,-0.1802708179168273,1,-6.456988700055164,1,0.4291158,1,0.648891178482051,1,0.074613854,1,0,False,False
guty1993,1667.4245283018868,1600-1800,106,1.3253118884750816,1,-0.2743126577234549,1,-0.16056149318990404,1,-5.689084368566175,1,0.44520733,1,0.8297423534971706,1,0.14469935,1,0,False,False
kartapus-84,1864.8048780487804,1800-2000,41,1.0971210486810328,1,-0.25249830356139347,1,-0.16331988380998919,1,-5.726757419486742,1,0.3996037,1,1.0,1,0.027050678,1,0,False,False
Dzemali,1607.0266666666666,1600-1800,75,1.3255255453020118,1,-0.26132404264978715,1,-0.16545428889684743,1,-5.489766892200149,1,0.29358622,1,0.9179202195732347,1,0.09501937,1,0,False,False
HASSAN63,2042.6923076923076,2000-2200,65,1.9119612736397036,1,-0.1670968605349885,1,-0.1162647142613838,1,-6.551469926780691,1,0.5389891,1,1.0,1,0.080153555,1,0,False,False
viktor_borsdorf,2167.2,2000-2200,10,1.3828868271657282,1,-0.2569205732743036,1,-0.17631282364504097,1,-4.301186853442624,1,0.8732853,1,1.0,1,0.11101724,1,0,False,False
marcschwartz,1610.0,1600-1800,47,2.695922553786787,1,-0.09499133448003994,1,-0.14276268529367653,1,-3.7349679342132314,1,1.805096,-1,1.0,1,0.056476142,1,1,False,False
KAIPIRA,1624.095238095238,1600-1800,42,1.1112890517182585,1,-0.22353422484510288,1,-0.16715662066635611,1,-4.741084050800162,1,0.42693543,1,0.6575285108112736,1,0.014719003,1,0,False,False
sandrusa123,1819.878048780488,1800-2000,123,1.0073340658540653,1,-0.24820053673466602,1,-0.16835470208242875,1,-5.24417233395149,1,0.17730816,1,0.6443151455099484,1,0.01398097,1,0,False,False
cocal1949,1842.0603448275863,1800-2000,116,1.19335835113374,1,-0.18139799679945634,1,-0.16329047372994937,1,-4.333737145439664,1,0.69496506,1,0.4714909807044779,1,0.1390329,1,0,False,False
ET64,1704.1818181818182,1600-1800,11,2.175911885011488,1,-0.2798709303056581,1,-0.11559011112877493,1,-2.9007195552097924,1,0.26293793,1,1.0,1,0.02811505,1,0,False,False
atttmane,2091.1428571428573,2000-2200,21,1.4602038413543121,1,-0.22635039137111557,1,-0.14485416133484774,1,-4.9839059697837,1,0.16810322,1,1.0,1,0.109504275,1,0,False,False
razvan345,1686.351851851852,1600-1800,54,2.695922553786787,1,-0.21890375414314867,1,-0.1237399034943763,1,-4.44772834493413,1,2.2375448,-1,1.0,1,0.024110833,1,1,False,False
pyrov,1789.7142857142858,1600-1800,14,1.4552603724763824,1,-0.17524782151353557,1,-0.176047449786986,1,-5.03535855564295,1,0.27971277,1,0.8303011811765016,1,0.023553796,1,0,False,False
Fungi,1907.3296703296703,1800-2000,91,0.8820748883212824,1,-0.22964856995782923,1,-0.17226854379929118,1,-7.047750904007551,1,0.22515768,1,0.6475464078210874,1,0.014924831,1,0,False,False
krizzyd,1353.595744680851,1200-1400,47,1.081894367854889,1,-0.2318003849826744,1,-0.1738135041867261,1,-4.501873032048944,1,0.28499135,1,0.4870761918460763,1,0.12785614,1,0,False,False
glowox,1504.0666666666666,1400-1600,15,1.4537726025834947,1,-0.21668799908211134,1,-0.14266118883173934,1,-5.502392421633087,1,0.4904383,1,0.9176796194157855,1,0.048967022,1,0,False,False
Makrakanta,1630.1666666666667,1600-1800,6,2.468712434053034,1,-0.05769054071279722,1,-0.04690724174486649,1,-2.656368095977893,1,3.4008408,-1,1.0,1,0.070952475,1,1,False,False
waitz,1719.5555555555557,1600-1800,27,1.4952740730886485,1,-0.13485977558141204,1,-0.15468178446050967,1,-4.857698572580817,1,0.5347931,1,0.6574929402521688,1,0.050306097,1,0,False,False
israelsilva,2018.4864864864865,2000-2200,37,4.31661001510319,1,-0.25221763712647727,1,0.0001353092868057182,-1,-1.6596407984170014,1,0.25537455,1,1.0,1,0.10148686,1,0,False,False
Shaneg4015,1235.3532934131736,1200-1400,167,1.4297750217721297,1,-0.2610032160659661,1,-0.1652076458454908,1,-6.756779648095807,1,0.23668583,1,0.9144926167264791,1,0.08387504,1,0,False,False
Ciocirlan,1855.8947368421052,1800-2000,19,2.3459270207679315,1,-0.2648222484187195,1,-0.11961498304219398,1,-4.741911792436393,1,0.6310463,1,1.0,1,0.11651167,1,0,False,False
surajm10,2033.7619047619048,2000-2200,42,0.7570560912752594,1,-0.2628300125901739,1,-0.17765362694153713,1,-8.37185319690466,1,0.45524368,1,0.7419705492719317,1,0.06345438,1,0,False,False
Hg3oz,1846.6857142857143,1800-2000,70,1.5560481718403596,1,-0.13887912267733715,1,-0.1559286069054971,1,-6.610090196551465,1,1.464591,1,0.6645617842127781,1,0.01334073,1,0,False,False
dongman51,1215.8,1200-1400,30,3.821199768428299,1,0.06923907181015299,-1,-0.07155575321862567,1,-0.5304178207763526,1,2.4762087,-1,1.0,1,0.72717834,-1,2,True,False
fairnessfirst,1707.8,1600-1800,15,2.2179641155378347,1,-0.2319136255454508,1,-0.12284498027930979,1,-5.479236612714124,1,0.37422088,1,1.0,1,0.19761571,1,0,False,False
CCyanide4,1510.5,1400-1600,10,2.2965374793496967,1,-0.25261259350575194,1,-0.14510893812281234,1,-4.679790513719715,1,0.08364225,1,1.0,1,0.08808578,1,0,False,False
istanic,1767.857142857143,1600-1800,42,1.965082818269626,1,-0.2019702293980863,1,-0.14474545187276122,1,-3.4225767010313595,1,0.6365349,1,1.0,1,0.07623264,1,0,False,False
migue7,1870.4,1800-2000,25,4.189034730795017,1,-0.04429080467467594,1,-0.04950706814909578,1,-2.5873903471806567,1,0.20840095,1,1.0,1,0.18929358,1,0,False,False
andrestf,1768.2857142857142,1600-1800,7,1.55812694282977,1,-0.0987295297505375,1,-0.11901498291243306,1,-3.439377652402716,1,0.3181358,1,1.0,1,0.056840327,1,0,False,False
Trans-eng-esp,1719.8095238095239,1600-1800,21,1.8500553242644069,1,-0.18580206002905508,1,-0.14465898140639177,1,-4.140310469979604,1,0.42988443,1,1.0,1,0.12450598,1,0,False,False
dynamic727,1198.6470588235295,1000-1200,17,2.939743376403768,1,-0.1393383612439254,1,-0.11370339859113393,1,-4.858261244016661,1,0.6159055,1,1.0,1,0.3507818,1,0,False,False
Cersad,1978.0208333333333,1800-2000,48,1.23090221253241,1,-0.2626430986684789,1,-0.15144365186414888,1,-3.713310627666023,1,0.15853146,1,1.0,1,0.037455168,1,0,False,False
YusufP,2063.961038961039,2000-2200,77,1.9008477016831287,1,-0.18497219741074344,1,-0.1494990287410466,1,-6.499602889238257,1,0.50003153,1,1.0,1,0.07042989,1,0,False,False
dbetelu,2089.3417085427136,2000-2200,199,1.4241654912881265,1,-0.1886968527539319,1,-0.16094247378511622,1,-5.153135081960941,1,0.41653752,1,0.6387162762618553,1,0.09355082,1,0,False,False
Ipswich1979,1967.9166666666667,1800-2000,12,2.695922553786787,1,-0.22323375483434438,1,-0.11235070614165837,1,-3.3669851059912945,1,2.5450742,-1,1.0,1,0.07929405,1,1,False,False
Little_Mary,1674.4285714285713,1600-1800,21,1.8943834805541875,1,-0.18483691174189287,1,-0.12991136415217353,1,-5.807815721115644,1,0.5577088,1,1.0,1,0.04059798,1,0,False,False
olympian_god,1870.9411764705883,1800-2000,17,1.9742267308101813,1,-0.21995777545107087,1,-0.12565358616907812,1,-6.389419187694702,1,0.69282967,1,1.0,1,0.04857385,1,0,False,False
zannzetsu,1764.142857142857,1600-1800,7,4.833678205965833,-1,-0.1875020336306883,1,-0.05215044447429157,1,-1.15546596944111,1,0.24878092,1,1.0,1,0.065609045,1,0,False,False
trickybicky,1759.0,1600-1800,12,2.972728399062741,1,-0.2670994362651251,1,-0.09871073840500033,1,-5.0444589811996865,1,0.094555475,1,1.0,1,0.03023449,1,0,False,False
robertitof7,1820.1555555555556,1800-2000,45,1.6940223496460678,1,-0.10277842868215403,1,-0.1314250609484881,1,-4.625771699764438,1,1.488314,1,1.0,1,0.040144097,1,0,False,False
Skq,1151.3333333333333,1000-1200,6,3.2522812037446,1,-0.1315172625478238,1,-0.04820505832855149,1,-1.3043724804058678,1,1.5799823,1,1.0,1,0.17354454,1,0,False,False
Jgor,1935.3333333333333,1800-2000,18,1.3885482509581022,1,-0.16815398666018977,1,-0.172110511130879,1,-4.413161035498752,1,0.42903686,1,0.8317885455335348,1,0.0537113,1,0,False,False
