model,fpr,tpr,threshold,roc_auc
ZScoreBaseline,0.0,0.0,inf,0.7810011164867882
ZScoreBaseline,0.0003721622627465575,0.0,0.999999999953512,0.7810011164867882
ZScoreBaseline,0.004093784890212133,0.0,0.38975573049588963,0.7810011164867882
ZScoreBaseline,0.00446594715295869,0.02,0.36671589583269376,0.7810011164867882
ZScoreBaseline,0.023074060290286566,0.02,0.23594095902544385,0.7810011164867882
ZScoreBaseline,0.023074060290286566,0.06,0.2321481894912034,0.7810011164867882
ZScoreBaseline,0.024562709341272793,0.06,0.2260135168159259,0.7810011164867882
ZScoreBaseline,0.024562709341272793,0.08,0.2238553300806634,0.7810011164867882
ZScoreBaseline,0.024934871604019353,0.1,0.22377963551009766,0.7810011164867882
ZScoreBaseline,0.0297729810197246,0.1,0.20199167944682803,0.7810011164867882
ZScoreBaseline,0.0297729810197246,0.12,0.19965823591018178,0.7810011164867882
ZScoreBaseline,0.032005954596203944,0.12,0.19764705877455585,0.7810011164867882
ZScoreBaseline,0.032005954596203944,0.14,0.19744832881928528,0.7810011164867882
ZScoreBaseline,0.03609973948641608,0.14,0.19059515851298647,0.7810011164867882
ZScoreBaseline,0.03609973948641608,0.16,0.19000806671296458,0.7810011164867882
ZScoreBaseline,0.04391514700409378,0.16,0.1803696186816623,0.7810011164867882
ZScoreBaseline,0.04540379605508001,0.16,0.1802874159820824,0.7810011164867882
ZScoreBaseline,0.048381094157052475,0.16,0.17390647221294075,0.7810011164867882
ZScoreBaseline,0.048381094157052475,0.18,0.1724655658981459,0.7810011164867882
ZScoreBaseline,0.056196501674730184,0.18,0.16501121012045344,0.7810011164867882
ZScoreBaseline,0.056196501674730184,0.2,0.16438360902256902,0.7810011164867882
ZScoreBaseline,0.060290286564942314,0.2,0.1604552086359532,0.7810011164867882
ZScoreBaseline,0.060290286564942314,0.22,0.16045311648505325,0.7810011164867882
ZScoreBaseline,0.06698920729438035,0.22,0.15562119445908765,0.7810011164867882
ZScoreBaseline,0.06698920729438035,0.24,0.1554421690278499,0.7810011164867882
ZScoreBaseline,0.07219947897283216,0.24,0.15193547385878076,0.7810011164867882
ZScoreBaseline,0.07219947897283216,0.26,0.15183503441447188,0.7810011164867882
ZScoreBaseline,0.07294380349832527,0.26,0.15081578201928023,0.7810011164867882
ZScoreBaseline,0.07294380349832527,0.28,0.1506897873275986,0.7810011164867882
ZScoreBaseline,0.07480461481205805,0.28,0.14949339994683697,0.7810011164867882
ZScoreBaseline,0.07480461481205805,0.3,0.149339829625857,0.7810011164867882
ZScoreBaseline,0.07852623743952364,0.3,0.14654257352596092,0.7810011164867882
ZScoreBaseline,0.07852623743952364,0.32,0.14644855085775854,0.7810011164867882
ZScoreBaseline,0.08038704875325642,0.32,0.14597362254946045,0.7810011164867882
ZScoreBaseline,0.08113137327874953,0.32,0.1459471971230702,0.7810011164867882
ZScoreBaseline,0.08336434685522888,0.32,0.14507307209694886,0.7810011164867882
ZScoreBaseline,0.08336434685522888,0.34,0.14493709463871002,0.7810011164867882
ZScoreBaseline,0.08783029400818756,0.34,0.14188490765082185,0.7810011164867882
ZScoreBaseline,0.08783029400818756,0.36,0.14095405890964438,0.7810011164867882
ZScoreBaseline,0.09527353926311873,0.36,0.13523042187103765,0.7810011164867882
ZScoreBaseline,0.09527353926311873,0.38,0.1348853309258352,0.7810011164867882
ZScoreBaseline,0.09601786378861184,0.38,0.13465568494065427,0.7810011164867882
ZScoreBaseline,0.09601786378861184,0.4,0.13458274455772026,0.7810011164867882
ZScoreBaseline,0.10569408262002233,0.4,0.13114882214719417,0.7810011164867882
ZScoreBaseline,0.10569408262002233,0.42,0.13109466354247573,0.7810011164867882
ZScoreBaseline,0.10718273167100856,0.42,0.13091413626047965,0.7810011164867882
ZScoreBaseline,0.10978786751023446,0.42,0.1305160545827775,0.7810011164867882
ZScoreBaseline,0.11016002977298102,0.42,0.1302676187627973,0.7810011164867882
ZScoreBaseline,0.11016002977298102,0.44,0.13005357001680223,0.7810011164867882
ZScoreBaseline,0.11239300334946037,0.44,0.12902831209568716,0.7810011164867882
ZScoreBaseline,0.11276516561220692,0.46,0.12877282095549986,0.7810011164867882
ZScoreBaseline,0.11537030145143283,0.46,0.1276339808279116,0.7810011164867882
ZScoreBaseline,0.11574246371417939,0.48,0.12755319983376284,0.7810011164867882
ZScoreBaseline,0.1164867882396725,0.48,0.12696095733997,0.7810011164867882
ZScoreBaseline,0.11760327502791217,0.48,0.12590862389038454,0.7810011164867882
ZScoreBaseline,0.11760327502791217,0.52,0.12574679061350658,0.7810011164867882
ZScoreBaseline,0.13695571269073317,0.52,0.11886508435030871,0.7810011164867882
ZScoreBaseline,0.13732787495347973,0.54,0.11861117438721472,0.7810011164867882
ZScoreBaseline,0.13993301079270562,0.54,0.11812115261734817,0.7810011164867882
ZScoreBaseline,0.1417938221064384,0.54,0.11807321423295128,0.7810011164867882
ZScoreBaseline,0.1462597692593971,0.54,0.1168495092297399,0.7810011164867882
ZScoreBaseline,0.1462597692593971,0.56,0.1166905250004746,0.7810011164867882
ZScoreBaseline,0.15742463714179383,0.56,0.11250657241452862,0.7810011164867882
ZScoreBaseline,0.1585411239300335,0.56,0.11241737771030298,0.7810011164867882
ZScoreBaseline,0.16486788239672498,0.56,0.11056057505139133,0.7810011164867882
ZScoreBaseline,0.16486788239672498,0.58,0.1104784967900154,0.7810011164867882
ZScoreBaseline,0.16821734276144398,0.58,0.10908102197410816,0.7810011164867882
ZScoreBaseline,0.1689616672869371,0.58,0.10907110543557043,0.7810011164867882
ZScoreBaseline,0.17045031633792335,0.58,0.10853272652343009,0.7810011164867882
ZScoreBaseline,0.17045031633792335,0.6,0.10842370367384534,0.7810011164867882
ZScoreBaseline,0.17454410122813546,0.6,0.10777695440441097,0.7810011164867882
ZScoreBaseline,0.17454410122813546,0.62,0.10772119643762726,0.7810011164867882
ZScoreBaseline,0.17603275027912169,0.62,0.10710812337098542,0.7810011164867882
ZScoreBaseline,0.17714923706736138,0.62,0.10709423745369286,0.7810011164867882
ZScoreBaseline,0.2005954596203945,0.62,0.10083282595448342,0.7810011164867882
ZScoreBaseline,0.20245627093412727,0.62,0.1007626816848582,0.7810011164867882
ZScoreBaseline,0.20431708224786008,0.62,0.10026033649196006,0.7810011164867882
ZScoreBaseline,0.20692221808708597,0.62,0.10025502097747105,0.7810011164867882
ZScoreBaseline,0.2206922218087086,0.62,0.09740650921680502,0.7810011164867882
ZScoreBaseline,0.22553033122441385,0.62,0.09733514698324089,0.7810011164867882
ZScoreBaseline,0.22664681801265352,0.62,0.09713137587382285,0.7810011164867882
ZScoreBaseline,0.22664681801265352,0.64,0.09704874803965034,0.7810011164867882
ZScoreBaseline,0.22962411611462596,0.64,0.0960638616023524,0.7810011164867882
ZScoreBaseline,0.2720506140677335,0.64,0.09575948432702994,0.7810011164867882
ZScoreBaseline,0.2768887234834388,0.64,0.0947358969564127,0.7810011164867882
ZScoreBaseline,0.2768887234834388,0.66,0.094657430368212,0.7810011164867882
ZScoreBaseline,0.27912169705991813,0.66,0.09402949657620585,0.7810011164867882
ZScoreBaseline,0.2794938593226647,0.68,0.09380700905421079,0.7810011164867882
ZScoreBaseline,0.3029400818756978,0.68,0.08794739709161147,0.7810011164867882
ZScoreBaseline,0.3029400818756978,0.72,0.08787653794959475,0.7810011164867882
ZScoreBaseline,0.3100111648678824,0.72,0.08605649443556732,0.7810011164867882
ZScoreBaseline,0.3100111648678824,0.74,0.08598623160794054,0.7810011164867882
ZScoreBaseline,0.3122441384443617,0.74,0.08526852435308106,0.7810011164867882
ZScoreBaseline,0.3550427986602159,0.74,0.08519693028665058,0.7810011164867882
ZScoreBaseline,0.3755117231112765,0.74,0.08088160930010778,0.7810011164867882
ZScoreBaseline,0.3773725344250093,0.74,0.08074469318347258,0.7810011164867882
ZScoreBaseline,0.3773725344250093,0.76,0.08068191017505476,0.7810011164867882
ZScoreBaseline,0.3870487532564198,0.76,0.07874723973456714,0.7810011164867882
ZScoreBaseline,0.3877930777819129,0.76,0.07857543209930531,0.7810011164867882
ZScoreBaseline,0.3889095645701526,0.76,0.07846367598160205,0.7810011164867882
ZScoreBaseline,0.39002605135839225,0.76,0.07841626616266746,0.7810011164867882
ZScoreBaseline,0.3933755117231113,0.76,0.07802093538625003,0.7810011164867882
ZScoreBaseline,0.3941198362486044,0.76,0.07781696604233701,0.7810011164867882
ZScoreBaseline,0.4041682173427614,0.76,0.07504274497172737,0.7810011164867882
ZScoreBaseline,0.4041682173427614,0.78,0.07501102402248468,0.7810011164867882
ZScoreBaseline,0.40640119091924076,0.78,0.07471728467911232,0.7810011164867882
ZScoreBaseline,0.40714551544473393,0.78,0.07464602685478854,0.7810011164867882
ZScoreBaseline,0.40788983997022704,0.78,0.07428868800922317,0.7810011164867882
ZScoreBaseline,0.40863416449572015,0.78,0.07423951432367219,0.7810011164867882
ZScoreBaseline,0.41123930033494605,0.78,0.07367742961354265,0.7810011164867882
ZScoreBaseline,0.4142165984369185,0.78,0.07363449869785758,0.7810011164867882
ZScoreBaseline,0.4194268701153703,0.78,0.07300658864391989,0.7810011164867882
ZScoreBaseline,0.42017119464086344,0.78,0.07291772825327926,0.7810011164867882
ZScoreBaseline,0.42054335690361,0.78,0.072888924555788,0.7810011164867882
ZScoreBaseline,0.4212876814291031,0.78,0.07285743373990597,0.7810011164867882
ZScoreBaseline,0.42426497953107556,0.78,0.07194440063113619,0.7810011164867882
ZScoreBaseline,0.42500930405656867,0.78,0.07185656318063725,0.7810011164867882
ZScoreBaseline,0.42687011537030145,0.78,0.07138267688866834,0.7810011164867882
ZScoreBaseline,0.4279866021585411,0.78,0.07134890247325007,0.7810011164867882
ZScoreBaseline,0.4354298474134723,0.78,0.0699752326152288,0.7810011164867882
ZScoreBaseline,0.4354298474134723,0.8,0.06993189872475686,0.7810011164867882
ZScoreBaseline,0.43580200967621885,0.8,0.06986720440902124,0.7810011164867882
ZScoreBaseline,0.4369184964644585,0.8,0.06979769313479038,0.7810011164867882
ZScoreBaseline,0.43766282098995163,0.8,0.06968439065029372,0.7810011164867882
ZScoreBaseline,0.43840714551544474,0.8,0.06940013696475482,0.7810011164867882
ZScoreBaseline,0.43840714551544474,0.84,0.06922393017780738,0.7810011164867882
ZScoreBaseline,0.44175660588016374,0.84,0.06852584415170067,0.7810011164867882
ZScoreBaseline,0.44175660588016374,0.86,0.06843874515504614,0.7810011164867882
ZScoreBaseline,0.4436174171938965,0.86,0.06826782283223258,0.7810011164867882
ZScoreBaseline,0.44510606624488275,0.86,0.06824329836760964,0.7810011164867882
ZScoreBaseline,0.4491998511350949,0.86,0.06761267325702257,0.7810011164867882
ZScoreBaseline,0.44994417566058803,0.86,0.06754519184166265,0.7810011164867882
ZScoreBaseline,0.45068850018608114,0.86,0.06741137819673416,0.7810011164867882
ZScoreBaseline,0.45217714923706737,0.86,0.0671706855291167,0.7810011164867882
ZScoreBaseline,0.46966877558615555,0.86,0.0644643159875414,0.7810011164867882
ZScoreBaseline,0.4711574246371418,0.86,0.06415423938370428,0.7810011164867882
ZScoreBaseline,0.4771120208410867,0.86,0.06364664801932786,0.7810011164867882
ZScoreBaseline,0.47860066989207295,0.86,0.06359767217943128,0.7810011164867882
ZScoreBaseline,0.48195013025679195,0.86,0.06332376276389691,0.7810011164867882
ZScoreBaseline,0.48195013025679195,0.88,0.06329336707616678,0.7810011164867882
ZScoreBaseline,0.4871604019352438,0.88,0.06243862470505086,0.7810011164867882
ZScoreBaseline,0.48827688872348346,0.88,0.06240787582583392,0.7810011164867882
ZScoreBaseline,0.48864905098623,0.88,0.06239082032327775,0.7810011164867882
ZScoreBaseline,0.49013770003721624,0.88,0.06227000469715894,0.7810011164867882
ZScoreBaseline,0.5031633792333458,0.88,0.06029780153068317,0.7810011164867882
ZScoreBaseline,0.5031633792333458,0.9,0.06025711002715274,0.7810011164867882
ZScoreBaseline,0.5039077037588389,0.9,0.060216613834614824,0.7810011164867882
ZScoreBaseline,0.504652028284332,0.9,0.06020198460605559,0.7810011164867882
ZScoreBaseline,0.5057685150725716,0.9,0.060035663585135894,0.7810011164867882
ZScoreBaseline,0.5065128395980647,0.9,0.060023362598925656,0.7810011164867882
ZScoreBaseline,0.5083736509117975,0.9,0.059724284485812226,0.7810011164867882
ZScoreBaseline,0.5091179754372906,0.9,0.059719276812001815,0.7810011164867882
ZScoreBaseline,0.5143282471157424,0.9,0.059016401231109496,0.7810011164867882
ZScoreBaseline,0.5150725716412355,0.9,0.05894142709517615,0.7810011164867882
ZScoreBaseline,0.5158168961667287,0.9,0.05887551625669466,0.7810011164867882
ZScoreBaseline,0.5165612206922218,0.9,0.05884880063422521,0.7810011164867882
ZScoreBaseline,0.5217714923706737,0.9,0.05817252328064161,0.7810011164867882
ZScoreBaseline,0.5217714923706737,0.92,0.05814603284134145,0.7810011164867882
ZScoreBaseline,0.5243766282098995,0.92,0.05775563220875461,0.7810011164867882
