model,fpr,tpr,threshold,roc_auc
ZScoreBaseline,0.0,0.0,inf,0.4522925195385188
ZScoreBaseline,0.0003721622627465575,0.0,0.9999999999535121,0.4522925195385188
ZScoreBaseline,0.04317082247860067,0.0,0.18094679195138486,0.4522925195385188
ZScoreBaseline,0.0446594715295869,0.0,0.18028995398638492,0.4522925195385188
ZScoreBaseline,0.08001488649050986,0.0,0.14597626679655715,0.4522925195385188
ZScoreBaseline,0.08075921101600297,0.0,0.14594984145198567,0.4522925195385188
ZScoreBaseline,0.1042054335690361,0.0,0.13069740561473286,0.4522925195385188
ZScoreBaseline,0.106810569408262,0.0,0.13051874668978852,0.4522925195385188
ZScoreBaseline,0.11276516561220692,0.0,0.12727229260634385,0.4522925195385188
ZScoreBaseline,0.11350949013770004,0.0,0.1269636604543173,0.4522925195385188
ZScoreBaseline,0.13956084852995906,0.0,0.11822279152055792,0.4522925195385188
ZScoreBaseline,0.14142165984369184,0.0,0.1180759448656394,0.4522925195385188
ZScoreBaseline,0.16002977298101972,0.0,0.11243615197402752,0.4522925195385188
ZScoreBaseline,0.1611462597692594,0.0,0.11242012585466252,0.4522925195385188
ZScoreBaseline,0.17045031633792335,0.0,0.10908378044853384,0.4522925195385188
ZScoreBaseline,0.17119464086341646,0.0,0.10907386394069982,0.4522925195385188
ZScoreBaseline,0.17714923706736138,0.0,0.10712260262928353,0.4522925195385188
ZScoreBaseline,0.17826572385560105,0.0,0.10709700207962548,0.4522925195385188
ZScoreBaseline,0.2005954596203945,0.0,0.10083560996707625,0.4522925195385188
ZScoreBaseline,0.20245627093412727,0.0,0.1007654659146326,0.4522925195385188
ZScoreBaseline,0.20357275772236696,0.0,0.10055800032454984,0.4522925195385188
ZScoreBaseline,0.20617789356159286,0.0,0.10025780677907083,0.4522925195385188
ZScoreBaseline,0.21697059918124303,0.0,0.09740930383800236,0.4522925195385188
ZScoreBaseline,0.22180870859694826,0.0,0.09733794182539086,0.4522925195385188
ZScoreBaseline,0.22739114253814663,0.0,0.096289303866067,0.4522925195385188
ZScoreBaseline,0.2698176404912542,0.0,0.09576228404776625,0.4522925195385188
ZScoreBaseline,0.3144771120208411,0.0,0.08527135655605818,0.4522925195385188
ZScoreBaseline,0.3565314477112021,0.0,0.08519976271129814,0.4522925195385188
ZScoreBaseline,0.362486043915147,0.0,0.08414995572934957,0.4522925195385188
ZScoreBaseline,0.362486043915147,0.02,0.0841203059081655,0.4522925195385188
ZScoreBaseline,0.3665798288053591,0.02,0.08372234447350832,0.4522925195385188
ZScoreBaseline,0.3665798288053591,0.03,0.08369432222661458,0.4522925195385188
ZScoreBaseline,0.36918496464458506,0.03,0.0829115049278267,0.4522925195385188
ZScoreBaseline,0.36918496464458506,0.04,0.08283289167956562,0.4522925195385188
ZScoreBaseline,0.36992928917007817,0.04,0.08277538246729689,0.4522925195385188
ZScoreBaseline,0.36992928917007817,0.05,0.08274023372410846,0.4522925195385188
ZScoreBaseline,0.37179010048381095,0.05,0.08229740210054762,0.4522925195385188
ZScoreBaseline,0.37179010048381095,0.07,0.08218762237977857,0.4522925195385188
ZScoreBaseline,0.3747673985857834,0.07,0.08160332696993237,0.4522925195385188
ZScoreBaseline,0.3747673985857834,0.08,0.08150080532628536,0.4522925195385188
ZScoreBaseline,0.3755117231112765,0.08,0.0814947799114745,0.4522925195385188
ZScoreBaseline,0.3755117231112765,0.09,0.0813754907616767,0.4522925195385188
